STATE/UT,CRIME HEAD,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Tamil Nadu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,1773,1877,2022,1861,1764,1179,1540,1705,1242,1405,1467,1494,1271,1102,1163,854
Tripura,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,58,128,127,134,161,207,244,346,384,376,294,314,407,492,352,214
Uttar Pradesh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,2870,2145,1098,1900,1835,2096,2522,2955,2782,2793,3455,3247,7303,8605,7885,11335
Uttarakhand,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,103,145,136,143,100,153,146,120,119,125,116,139,295,343,318,344
West Bengal,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,954,964,1186,1566,1572,1837,2281,2396,1942,2465,2363,3345,4913,5670,5069,4177
A&N Islands,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,19,17,9,6,11,14,21,24,30,31,15,17,45,41,57,46
Chandigarh,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,24,36,11,20,31,20,32,19,26,29,21,45,143,87,76,76
D&N Haveli,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,7,3,4,5,5,5,0,4,2,11,2,2,1,2,5,1
Daman & Diu,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,0,3,1,1,2,0,2,4,2,0,0,2,3,7,4
Delhi UT,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,502,446,489,601,762,718,868,611,552,601,657,727,3515,4322,5367,4165
Lakshadweep,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,0,1,1,0,0,0,2,0,0,0,0,1,1,1,6,1
Puducherry,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,35,59,56,50,60,56,89,65,53,46,35,9,12,32,33,43
INDIA,ASSAULT ON WOMEN WITH INTENT TO OUTRAGE HER MODESTY,34124,33943,32939,34567,34175,36617,38734,40413,38711,40613,42968,45351,70739,82235,82422,84746
Andhra Pradesh,INSULT TO THE MODESTY OF WOMEN,2271,2024,2286,2310,2508,2411,3316,3551,3520,4562,3658,3714,4702,3791,3488,2839
Arunachal Pradesh,INSULT TO THE MODESTY OF WOMEN,3,2,0,0,0,2,1,1,6,1,0,2,3,3,2,10
Assam,INSULT TO THE MODESTY OF WOMEN,4,7,6,11,19,10,10,2,10,20,8,5,14,1,111,34
Bihar,INSULT TO THE MODESTY OF WOMEN,21,6,11,13,13,53,12,21,12,16,11,37,52,69,96,167
Chhattisgarh,INSULT TO THE MODESTY OF WOMEN,161,147,105,131,132,143,111,125,152,182,174,162,180,79,53,101
Goa,INSULT TO THE MODESTY OF WOMEN,7,6,7,15,8,7,7,12,10,16,12,16,54,57,34,32
